	Standard Type	Standard Value	Smiles
3552	Ki	37.0	C1=CC=C(C=C1)S(=O)(=O)C2=CC=C(C=C2)CCN
3553	Ki	62.0	C1CN(CCN1)C2=CC=CC(=C2)NS(=O)(=O)C3=CC=CC=C3
3554	Ki	17.0	COC1=C(C=C(C=C1)NS(=O)(=O)C2=CC=CC=C2)CCN
3555	Ki	230.0	C1=CC=C(C=C1)S(=O)(=O)NC2=CC=CC(=C2)CCCN
3556	Ki	290.0	C1=CC=C(C=C1)S(=O)(=O)NC2=CC=CC(=C2)CN
3557	Ki	2840.0	C1=CC=C(C=C1)S(=O)(=O)NC2=CC=CC(=C2)N
3560	Ki	38.0	CNCCC1=CC(=CC=C1)NS(=O)(=O)C2=CC=CC=C2
3561	Ki	85.0	C1CN(CCN1)C2=CC=C(C=C2)NS(=O)(=O)C3=CC=CC=C3
3562	Ki	1.2	C1CN(CCN1)C2=CC(=CC=C2)S(=O)(=O)C3=CC=CC=C3
3564	Ki	6.8999999999999995	C1CN(CCN1)C2=CC=C(C=C2)S(=O)(=O)C3=CC=CC=C3
3566	Ki	4000.0	C1CN(CCN1)C2=CC=CC=C2S(=O)(=O)C3=CC=CC=C3
3569	Ki	21.0	C1=CC=C(C=C1)S(=O)(=O)NC2=CC=CC(=C2)CCN
3571	Ki	210.0	COC1=CC2=C(C3=C(N2S(=O)(=O)C4=CC=C(C=C4)N)CCCC3)C(=C1)OC
3572	Ki	3.3	COC1=CC=CC2=C1C=CN2S(=O)(=O)C3=CC=C(C=C3)N
3573	Ki	1.8	COC1=CC2=C(C=C1)C=CN2S(=O)(=O)C3=CC=C(C=C3)N
3574	Ki	0.8	COC1=CC2=C(C=CN2S(=O)(=O)C3=CC=C(C=C3)N)C(=C1)OC
3575	Ki	165.0	CNC1=C2C3=C(CCCC3)N(C2=CC=C1)S(=O)(=O)C4=CC=C(C=C4)N
3576	Ki	205.0	CNC1=CC2=C(C=C1)C3=C(N2S(=O)(=O)C4=CC=C(C=C4)N)CCCC3
3577	Ki	120.3	CN1C(=O)C=NN(C1=O)CCCCN2CCN(CC2)C3=CC=CC4=C3C=C(C=C4)O[11CH3]
3578	Ki	1.0	C1CN(CCN1)C2=CC=CC3=C2C=CN3S(=O)(=O)C4=CC=CC=C4
3583	Ki	10.0	C1=CC=C2C(=C1)C=CN2S(=O)(=O)C3=CC=C(C=C3)N
3585	Ki	2700.0	C1CN(CCN1)C2=CC=CC3=C2C=CN3
3586	Ki	0.4	C1CN(CCN1)C2=CC=CC3=C2C=CN3S(=O)(=O)C4=CC=C(C=C4)N
3587	Ki	980.0	C1=CC(=CC=C1N)S(=O)(=O)N2C=CC3=C2C=C(C=C3[N+](=O)[O-])[N+](=O)[O-]
3588	Ki	7.0	CNC1=CC2=C(C=C1)C=CN2S(=O)(=O)C3=CC=C(C=C3)N
3589	Ki	1.9	CNC1=CC(=C2C=CN(C2=C1)S(=O)(=O)C3=CC=C(C=C3)N)NC
3590	Ki	26.0	CNC1=CC(=C2C=CN(C2=C1)S(=O)(=O)C3=CC=CC=C3)NC
3591	Ki	21.0	CNC1=C2C=CN(C2=CC=C1)S(=O)(=O)C3=CC=C(C=C3)N
3592	Ki	7.9430000000000005	C1CN(CCN1)C2=C(C=CC3=C2C=CN3S(=O)(=O)C4=CC(=CC=C4)Cl)Cl
3617	Ki	0.3162	C1CN(CCN1)C2=CC=CC3=C2NC=C3S(=O)(=O)C4=CC(=CC=C4)Cl
3618	Ki	25.12	C1CN(CCN1)C2=NC=CC3=C2NC=C3S(=O)(=O)C4=CC=CC=C4
3619	Ki	7.9430000000000005	C1CN(CCN1)C2=C3C(=NC=C2)C(=CN3)S(=O)(=O)C4=CC=CC=C4
3620	Ki	2.512	CN1C=C(C2=C1C(=CC=C2)N3CCNCC3)S(=O)(=O)C4=CC(=CC=C4)Cl
3621	Ki	1.259	C1CN(CCN1)C2=CC=CC3=C2OC=C3S(=O)(=O)C4=CC=CC=C4
3622	Ki	25.12	C1CN(CCN1)C2=C(C=CC3=C2C=CN3S(=O)(=O)C4=CC5=CC=CC=C5C=C4)Cl
3623	Ki	5.012	C1CN(CCN1)C2=C(C=CC3=C2C=CN3S(=O)(=O)C4=CC(=CC=C4)Cl)C#N
3624	Ki	1.585	C1CN(CCN1)C2=C(C=CC3=C2C=CN3S(=O)(=O)C4=CC=CC=C4)Cl
3625	Ki	1.0	C1CN(CCN1)C2=C(C=CC3=C2C=CN3S(=O)(=O)C4=CC=CC=C4Cl)Cl
3626	Ki	6.31	C1CN(CCN1)C2=C(C=CC3=C2C=CN3S(=O)(=O)C4=CC=C(C=C4)Cl)Cl
3627	Ki	0.5012000000000001	C1CN(CCN1)C2=C(C=CC3=C2C=CN3S(=O)(=O)C4=CC=CC=N4)Cl
3628	Ki	7.9430000000000005	C1CN(CCN1)C2=C(C=CC3=C2C=CN3S(=O)(=O)C4=CC=CC5=CC=CC=C54)Cl
3629	Ki	1.0	C1CN(CCN1)C2=CC=CC3=C2C=CN3S(=O)(=O)C4=CC=CC=N4
3630	Ki	0.3162	C1CN(CCN1)C2=CC=CC3=C2C(=CN3S(=O)(=O)C4=CC(=CC=C4)Cl)Cl
3635	Ki	0.3162	C1CN(CCN1)C2=C3C=CN(C3=C(C=C2)Cl)S(=O)(=O)C4=CC(=CC=C4)Cl
3636	Ki	0.631	CC1=CN(C2=C1C(=CC=C2)N3CCNCC3)S(=O)(=O)C4=CC(=CC=C4)Cl
3637	Ki	0.39809999999999995	CC1=CC2=C(N1S(=O)(=O)C3=CC(=CC=C3)Cl)C=CC=C2N4CCNCC4
3638	Ki	0.5012000000000001	C1CN(CCN1)C2=CC=CC3=C2SC=C3S(=O)(=O)C4=CC=CC=C4
3640	Ki	3.162	CC1=C(SC2=C1C=C(C=C2)Cl)S(=O)(=O)N3C=CC4=C3C=CC=C4N5CCNCC5
3646	Ki	0.39809999999999995	C1CN(CCN1)C2=CC=CC3=C2C=CN3S(=O)(=O)C4=CC=CC=C4Cl
3647	Ki	0.2512	C1CN(CCN1)C2=CC=CC3=C2C=CN3S(=O)(=O)C4=CC(=CC=C4)Cl
3648	Ki	1.9949999999999999	C1CN(CCN1)C2=CC=CC3=C2C=CN3S(=O)(=O)C4=CC=C(C=C4)Cl
3649	Ki	5089.0	CN1CCN(CC1)C2=C(C=CC(=C2)NC(=O)N3CCN(CC3)C4=CC=C(C=C4)Cl)OC
3650	Ki	1429.0	CN1CCN(CC1)C2=C(C=CC(=C2)NC(=O)N3CCN(CC3)C4=CC=C(C=C4)C5=CC=CC=C5)OC
3651	Ki	2863.0	CN1CCN(CC1)C2=C(C=CC(=C2)NC(=O)N3CCN(CC3)C4=CC=C(C=C4)C(F)(F)F)OC
3652	Ki	2410.0	CN1CCN(CC1)C2=C(C=CC(=C2)NC(=O)N3CCN(CC3)C4=CC=CC=C4OC)OC
3653	Ki	469.0	CN1CCN(CC1)C2=C(C=CC(=C2)NC(=O)N3CCN(CC3)C4=CC=CC=C4Cl)OC
3654	Ki	841.0	CN1CCN(CC1)C2=C(C=CC(=C2)NC(=O)N3CCN(CC3)C4=CC=CC=C4F)OC
3783	Ki	7.0	C1CC(CNC1)C2=CN(C3=CC=CC=C32)S(=O)(=O)C4=CC(=C(C=C4)F)F
3792	Ki	10.0	C1CC(CNC1)C2=CN(C3=CC=CC=C32)S(=O)(=O)C4=CC=C(C=C4)C(F)(F)F
3799	Ki	3.0	C1CC(CNC1)C2=CN(C3=CC=CC=C32)S(=O)(=O)C4=CC=CC=C4
3827	Ki	19.3	CN1CCC[C@H]1CC2=CN(C3=CC=CC=C32)S(=O)(=O)C4=CC=C(C=C4)OC
3828	Ki	2.0	C1CC(CNC1)C2=CN(C3=CC=CC=C32)S(=O)(=O)C4=CC(=CC=C4)Cl
3829	Ki	58.0	CC1=C(OC(=N1)C)S(=O)(=O)N2C=C(C3=CC=CC=C32)C4=CCCNC4
3836	Ki	1.5	CN(C)CC1=CN(C2=C1C=C(C=C2)OC)S(=O)(=O)C3=CC=CC=C3
3837	Ki	8.0	CC1=NN(C(=C1)Cl)CS(=O)(=O)N2C=C(C3=CC=CC=C32)C4=CCCNC4
3851	Ki	116.0	C1CNCC2=C1C3=CC=CC=C3N2S(=O)(=O)C4=CC=C(C=C4)N
3852	Ki	26.0	C1CNCC(=C1)C2=CN(C3=CC=CC=C32)S(=O)(=O)C4=CC(=C(C=C4)F)F
3853	Ki	48.0	C1CNCC(=C1)C2=CN(C3=CC=CC=C32)S(=O)(=O)C4=CC(=C(C=C4)Cl)Cl
3861	Ki	22.700000000000003	C1CNCC(=C1)C2=CN(C3=CC=CC=C32)S(=O)(=O)C4=CC=C(S4)Cl
3862	Ki	41.7	C1CNCC2=C1C3=CC=CC=C3N2S(=O)(=O)C4=CC(=CC=C4)Cl
3863	Ki	13.0	C1CNCC(=C1)C2=CN(C3=CC=CC=C32)S(=O)(=O)C4=C(C=C(C=C4)F)F
3864	Ki	20.0	C1CNCC(=C1)C2=CN(C3=CC=CC=C32)S(=O)(=O)C4=C(C(=CC=C4)Cl)Cl
3869	Ki	4.0	CN1CCC[C@@H]1CC2=CN(C3=CC=CC=C32)S(=O)(=O)C4=CC=C(S4)Br
3872	Ki	271.3	CC1=CC=C(C=C1)S(=O)(=O)N2C3=C(CCNC3)C4=CC=CC=C42
3876	Ki	22.0	C1CNCC(=C1)C2=CN(C3=CC=CC=C32)S(=O)(=O)C4=CC=C(C=C4)Cl
3877	Ki	16.0	COC1=CC=C(C=C1)S(=O)(=O)N2C=C(C3=CC=CC=C32)C4=CCCNC4
3878	Ki	20.0	C1C[C@H](NC1)CC2=CN(C3=CC=CC=C32)S(=O)(=O)C4=CC=C(S4)Br
3879	Ki	283.7	CC1=C(SC2=C1C=C(C=C2)Cl)S(=O)(=O)N3C=C(C4=CC=CC=C43)C[C@H]5CCCN5
3880	Ki	252.7	C1CNCC2=C1C3=CC=CC=C3N2S(=O)(=O)C4=CC=CC=C4
3884	Ki	44.699999999999996	C1CNCC(=C1)C2=CN(C3=CC=CC=C32)S(=O)(=O)C4=CC=CC(=C4)C(F)(F)F
3885	Ki	10.5	C1CNCC(=C1)C2=CN(C3=CC=CC=C32)S(=O)(=O)C4=CC=C(C=C4)F
3888	Ki	23.0	COC1=C(C=C(C=C1)S(=O)(=O)N2C=C(C3=CC=CC=C32)C[C@@H]4CCCN4)OC
3889	Ki	25.0	C1C[C@H](NC1)CC2=CN(C3=CC=CC=C32)S(=O)(=O)C4=CC=C(S4)Cl
3893	Ki	8.5	C1CNCC(=C1)C2=CN(C3=CC=CC=C32)S(=O)(=O)C4=CC=CC(=C4)F
3899	Ki	49.0	C1C[C@H](NC1)CC2=CN(C3=CC=CC=C32)S(=O)(=O)C4=CC(=C(C=C4)Cl)Cl
3907	Ki	14.0	C1CNCC(=C1)C2=CN(C3=CC=CC=C32)S(=O)(=O)C4=CC(=CC=C4)Cl
3908	Ki	13.0	C1CNCC(=C1)C2=CN(C3=CC=CC=C32)S(=O)(=O)C4=CC=CC=C4Cl
3909	Ki	33.0	CC1=CC=C(C=C1)S(=O)(=O)N2C=C(C3=CC=CC=C32)C[C@@H]4CCCN4
3910	Ki	40.0	COC1=CC=C(C=C1)S(=O)(=O)N2C=C(C3=CC=CC=C32)C[C@@H]4CCCN4
3917	Ki	21.7	C1CNCC(=C1)C2=CN(C3=CC=CC=C32)S(=O)(=O)C4=CC=CC=C4C(F)(F)F
3918	Ki	4.6	C1CNCC(=C1)C2=CN(C3=CC=CC=C32)S(=O)(=O)C4=CC=CC=C4
3921	Ki	49.0	C1C[C@H](NC1)CC2=CN(C3=CC=CC=C32)S(=O)(=O)C4=CC=C(C=C4)Cl
3922	Ki	34.0	C1C[C@H](NC1)CC2=CN(C3=CC=CC=C32)S(=O)(=O)C4=CC=C(C=C4)I
3929	Ki	9.2	C1CNCC(=C1)C2=CN(C3=CC=CC=C32)S(=O)(=O)C4=CC=CC=C4F
3942	Ki	43.0	C1C[C@H](NC1)CC2=CN(C3=CC=CC=C32)S(=O)(=O)C4=CC=CC=C4Br
3943	Ki	22.0	C1C[C@H](NC1)CC2=CN(C3=CC=CC=C32)S(=O)(=O)C4=CC(=CC=C4)Cl
3951	Ki	9.799999999999999	C1CC(CNC1)C2=CN(C3=CC=CC=C32)S(=O)(=O)C4=CC=CS4
3952	Ki	3.0	C1CC(CNC1)C2=CN(C3=CC=CC=C32)S(=O)(=O)C4=CC=C(S4)Cl
3962	Ki	44.0	CC1=C(SC2=C1C=C(C=C2)Cl)S(=O)(=O)N3C=C(C4=CC=CC=C43)C5CCCNC5
3963	Ki	27.7	C1C[C@H](NC1)CC2=CN(C3=CC=CC=C32)S(=O)(=O)C4=CC=CC=C4
4439	Ki	50.0	CC1=C(C=CN=C1OCC2=CC=C(C=C2)Cl)C3CCNCC3
4440	Ki	239.0	CC1=C(C=CN=C1OCC2=C(C=C(C=C2)F)F)C3CCNCC3
4441	Ki	39.5	CC1=C(C=CC=C1O[C@H](C)C2=CC(=CC=C2)Cl)C3CCNCC3
4442	Ki	17.9	CCC(C1=CC(=CC=C1)Cl)OC2=CC=CC(=C2C)C3CCNCC3
4443	Ki	8.1	CC1=C(C=CN=C1OCC2=CC(=CC=C2)Cl)C3CCNCC3
4444	Ki	17.8	CC1=C(C=CN=C1OCC2=CC(=CC=C2)F)C3CCNCC3
4445	Ki	19.099999999999998	CC1=C(C=CN=C1OCC2=CC(=CC=C2)C(F)(F)F)C3CCNCC3
4446	Ki	42.0	CC1=C(C=CC=C1OCC2=CC(=C(C=C2)F)F)C3CCNCC3
4447	Ki	219.0	CC1=C(C=CC=C1OCC2=CC(=C(C=C2)Cl)Cl)C3CCNCC3
4453	Ki	39.800000000000004	CC1=C(C=CC=C1O[C@H](C)C2=CC(=CC=C2)F)C3CCNCC3
4454	Ki	2.8	CC1=C(C=CC=C1O[C@@H](C)C2=CC(=CC=C2)Cl)C3CCNCC3
4455	Ki	45.6	CC1=C(C=CC=C1O[C@@H](C)C2=CC=CC=C2)N3CCNCC3
4456	Ki	70.7	CC1=C(C=CC=C1O[C@H](C)C2=CC=CC=C2)N3CCNCC3
4457	Ki	2.5	CC1=C(C=CC=C1OCC2=CC(=CC=C2)F)C3CCNCC3
4458	Ki	3.3	CC1=C(C=CC=C1OCC2=CC(=CC=C2)Cl)C3CCNCC3
4459	Ki	174.0	CC1=C(C=CC=C1OCC2=CC(=CC=C2)C#N)C3CCNCC3
4460	Ki	92.5	CC1=CC(=CC=C1)COC2=CC=CC(=C2C)C3CCNCC3
4461	Ki	0.6	CC1=C(C=CC=C1OCC2=CC(=CC=C2)Cl)N3CCNCC3
4462	Ki	15.299999999999999	CC1=C(C=CC=C1OCC2=CC(=CC=C2)C#N)N3CCNCC3
4463	Ki	11.6	CC1=C(C=CC=C1OCC2=CC=CC=C2F)N3CCNCC3
4464	Ki	9.299999999999999	CC1=C(C=CC=C1OCC2=CC(=C(C=C2)F)F)N3CCNCC3
4465	Ki	61.6	CC1=C(C=CC=C1OCC2=CC(=C(C=C2)Cl)Cl)N3CCNCC3
4466	Ki	126.0	CC1=C(C=CC=C1OCC2=CN=CC=C2)N3CCNCC3
4467	Ki	28.9	CC1=CC=C(C=C1)S(=O)(=O)OC2=CC=CC(=C2C)C3CCNCC3
4468	Ki	11.299999999999999	CCC1=CC=C(C=C1)S(=O)(=O)OC2=CC=CC(=C2C)C3CCNCC3
4469	Ki	1.5	CC1=C(C=CC=C1OS(=O)(=O)C2=CC=CC3=CC=CC=C32)C4CCNCC4
4470	Ki	2.7	CC1=C(C=CC=C1OS(=O)(=O)C2=CC3=CC=CC=C3C=C2)C4CCNCC4
4471	Ki	1.3	CC1=C(C=CC=C1OCC2=CC=CC=C2)N3CCNCC3
4472	Ki	10.3	CC1=C(C=CC=C1OCC2=CC(=CC=C2)F)N3CCNCC3
4473	Ki	18.4	CC1=C(C=CC=C1OS(=O)(=O)C2=CC=CC(=C2)F)C3CCNCC3
4474	Ki	5.8	CC1=C(C=CC=C1OS(=O)(=O)C2=CC=CC=C2Cl)C3CCNCC3
4475	Ki	24.7	CC1=C(C=CC=C1OS(=O)(=O)C2=CC=C(C=C2)Cl)C3CCNCC3
4476	Ki	13.6	CC1=C(C=CC=C1OS(=O)(=O)C2=CC=CC=C2F)C3CCNCC3
4477	Ki	10.1	CC1=CC=CC=C1S(=O)(=O)OC2=CC=CC(=C2C)C3CCNCC3
4478	Ki	15.100000000000001	CC1=CC(=CC=C1)S(=O)(=O)OC2=CC=CC(=C2C)C3CCNCC3
4479	Ki	4.3	CC1=C(C=CN=C1OC(C2=CC(=CC=C2)F)C(F)(F)F)C3CCNCC3
4480	Ki	3.5	CC1=C(C=CC=C1C2CCNCC2)COC3=CC(=CC=C3)Cl
4481	Ki	6.5	CC1=C(C=CC=C1C2CCNCC2)COC3=CC(=CC=C3)F
4482	Ki	19.599999999999998	CC1=C(C=CC=C1OS(=O)(=O)C2=CC=CC=C2)C3CCNCC3
4483	Ki	26.1	CC1=C(C=CC=C1OS(=O)(=O)C2=CC(=CC=C2)Cl)C3CCNCC3
4484	Ki	48.5	CC1=C(C=CN=C1O[C@@H](C)C2=CC=CC=C2)C3CCNCC3
4485	Ki	10.5	CC1=C(C=CN=C1O[C@@H](C)C2=CC(=CC=C2)Cl)C3CCNCC3
4486	Ki	208.0	CC1=C(C=CN=C1O[C@H](C)C2=CC(=CC=C2)Cl)C3CCNCC3
4487	Ki	6.4	CCC(C1=CC(=CC=C1)Cl)OC2=NC=CC(=C2C)C3CCNCC3
4488	Ki	2.4	CC1=C(C=CN=C1OC(C2=CC(=CC=C2)Cl)C(F)(F)F)C3CCNCC3
4489	Ki	7.9	C1=CC=C2C(=C1)C=CC=C2S(=O)(=O)N3C4=CC=CC(=C4C=N3)NC(=O)CCN
4492	Ki	50.0	C1=CC=C2C(=C1)C=CC=C2S(=O)(=O)N3C4=C(C=C(C=C4)NC(=O)CCN)C=N3
4493	Ki	0.5	C1=CC=C2C(=C1)C=CC=C2S(=O)(=O)N3C4=C(C=CC(=C4)NC(=O)CCN)C=N3
4495	Ki	1.2	CNCCC(=O)NC1=CC2=C(C=C1)C=NN2S(=O)(=O)C3=CC=CC4=CC=CC=C43
4498	Ki	1.8	CN(C)CCC(=O)NC1=CC2=C(C=C1)C=NN2S(=O)(=O)C3=CC=CC4=CC=CC=C43
4501	Ki	2.1	CCN(CC)CCC(=O)NC1=CC2=C(C=C1)C=NN2S(=O)(=O)C3=CC=CC4=CC=CC=C43
4504	Ki	15.0	C1CCN(CC1)CCC(=O)NC2=CC3=C(C=C2)C=NN3S(=O)(=O)C4=CC=CC5=CC=CC=C54
4507	Ki	2.3	C1CNCCC1C(=O)NC2=CC3=C(C=C2)C=NN3S(=O)(=O)C4=CC=CC5=CC=CC=C54
4511	Ki	1.3	C1CC(CNC1)C(=O)NC2=CC3=C(C=C2)C=NN3S(=O)(=O)C4=CC=CC5=CC=CC=C54
4515	Ki	18.0	C1CNCCC1CNC2=CC3=C(C=C2)C=NN3S(=O)(=O)C4=CC=CC5=CC=CC=C54
4516	Ki	4.0	C1C[C@H](CNC1)C(=O)NC2=CC3=C(C=C2)C=NN3S(=O)(=O)C4=CC=CC5=CC=CC=C54
4518	Ki	3.2	C1C[C@@H](CNC1)C(=O)NC2=CC3=C(C=C2)C=NN3S(=O)(=O)C4=CC=CC5=CC=CC=C54
4550	Ki	64.0	C1CN(CCN1)C2=NC3=C(O2)C=CC=C3S(=O)(=O)C4=CC=C(C=C4)F
4551	Ki	31.0	C1CN(CCN1)C2=NC3=C(O2)C=CC=C3S(=O)(=O)C4=CC(=CC=C4)Cl
4552	Ki	22.0	CC(C)C1=CC=C(C=C1)S(=O)(=O)C2=CC=CC3=C2N=C(O3)N4CCNCC4
4553	Ki	22.0	C1CN(CCN1)C2=NC3=C(O2)C=CC=C3S(=O)(=O)C4=CC=CC(=C4)C(F)(F)F
4556	Ki	196.0	C1CN(CCN1)C2=NC3=C(O2)C=C(C=C3)S(=O)(=O)C4=CC=CC5=CC=CC=C54
4557	Ki	7.1000000000000005	C1CN(CCN1)C2=NC3=C(O2)C(=CC=C3)S(=O)(=O)C4=CC=CC5=CC=CC=C54
4560	Ki	36.0	CCCN1CCN(CC1)C2=NC3=C(O2)C=CC=C3S(=O)(=O)C4=CC=CC5=CC=CC=C54
4561	Ki	13.0	CC(C)N1CCN(CC1)C2=NC3=C(O2)C=CC=C3S(=O)(=O)C4=CC=CC5=CC=CC=C54
4562	Ki	88.0	CCCCN1CCN(CC1)C2=NC3=C(O2)C=CC=C3S(=O)(=O)C4=CC=CC5=CC=CC=C54
4563	Ki	79.0	C1CCC(C1)N2CCN(CC2)C3=NC4=C(O3)C=CC=C4S(=O)(=O)C5=CC=CC6=CC=CC=C65
4564	Ki	33.0	C1CN(CCN1)C2=NC3=C(O2)C=CC=C3S(=O)(=O)C4=CC=C(C=C4)C(F)(F)F
4565	Ki	25.0	COC1=CC(=CC=C1)S(=O)(=O)C2=CC=CC3=C2N=C(O3)N4CCNCC4
4568	Ki	13.0	C1CN(CCN1)C2=NC3=C(O2)C=CC=C3S(=O)(=O)C4=C(C=CC(=C4)Cl)Cl
4571	Ki	3.1	C1CN(CCN1)C2=NC3=C(O2)C=CC=C3S(=O)(=O)C4=CC=CC5=CC=CC=C54
4574	Ki	52.0	C1CN(CCN1)C2=NC3=C(O2)C=CC(=C3)S(=O)(=O)C4=CC=CC5=CC=CC=C54
4575	Ki	12.0	CCN1CCN(CC1)C2=NC3=C(O2)C=CC=C3S(=O)(=O)C4=CC=CC5=CC=CC=C54
4578	Ki	9.700000000000001	CN1CCN(CC1)C2=NC3=C(O2)C=CC=C3S(=O)(=O)C4=CC=CC5=CC=CC=C54
4581	Ki	176.0	CC(C)CN1CCN(CC1)C2=NC3=C(O2)C=CC=C3S(=O)(=O)C4=CC=CC5=CC=CC=C54
4582	Ki	127.0	C1CN(CCN1CCCC2=CC=CC=C2)C3=NC4=C(O3)C=CC=C4S(=O)(=O)C5=CC=CC6=CC=CC=C65
4583	Ki	72.0	C1CC(C1)N2CCN(CC2)C3=NC4=C(O3)C=CC=C4S(=O)(=O)C5=CC=CC6=CC=CC=C65
4584	Ki	41.0	C1CN(CCN1)C2=NC3=C(O2)C=CC=C3S(=O)(=O)C4=CC=CC=C4
4585	Ki	54.0	C1CN(CCN1)C2=NC3=C(O2)C=CC=C3S(=O)(=O)C4=CC=CC(=C4)F
4607	Ki	3890.0	COC1=C(C=CC=C1OCCF)C(C2CCN(CC2)CCC3=CC=C(C=C3)F)O
4608	Ki	3842.0	COC1=C(C=CC=C1OCCF)[C@@H](C2CCN(CC2)CCC3=CC=C(C=C3)F)O
4609	Ki	1.9949999999999999	C1CNCCC2=C1C=CC(=C2)NS(=O)(=O)C3=CC=CC=C3
4610	Ki	1.585	C1CNCCC2=C1C=C3C=CN(C3=C2)S(=O)(=O)C4=CC=CC=C4
4611	Ki	7.9430000000000005	C1CNCCC2=C1C=C3C=CN(C3=C2)S(=O)(=O)C4=CC=CC=C4Cl
4612	Ki	1.585	C1CNCCC2=C1C=C3C=CN(C3=C2)S(=O)(=O)C4=CC(=CC=C4)Cl
4613	Ki	7.9430000000000005	C1CNCCC2=C1C=C3C=CN(C3=C2)S(=O)(=O)C4=CC=C(C=C4)Cl
4614	Ki	1.9949999999999999	COC1=CC(=CC=C1)S(=O)(=O)N2C=CC3=CC4=C(CCNCC4)C=C32
4615	Ki	100.0	C1CNCCC2=C1C=C3C=CN(C3=C2)S(=O)(=O)C4=CC=CC=N4
4616	Ki	7.9430000000000005	C1CNCCC2=C1C=C3C=CN(C3=C2)S(=O)(=O)C4=CSC=C4
4617	Ki	2.512	C1CNCCC2=CC3=C(C=C21)C(=CN3S(=O)(=O)C4=CC=CC=C4)Cl
4618	Ki	3.9810000000000003	C1CNCCC2=CC3=C(C=C21)C(=CN3S(=O)(=O)C4=CC(=CC=C4)Cl)Cl
4619	Ki	1.259	CN1CCC2=C(CC1)C=C3C(=C2)C=CN3S(=O)(=O)C4=CC(=CC=C4)Cl
4620	Ki	1.9949999999999999	CN1C=C(C2=C1C=C3CCNCCC3=C2)S(=O)(=O)C4=CC=CC=C4
4621	Ki	39.809999999999995	C1CC2=CC3=C(CCNCC3)C=C2N(C1)S(=O)(=O)C4=CC=CC=C4
4648	Ki	6000.0	C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F
4656	Ki	2000.0	CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F
4691	Ki	1400.0	C1CN(CCN1CCOCCO)C2=NC3=CC=CC=C3SC4=CC=CC=C42
4696	Ki	295.9	C1CN(CCN(C1)C2=CC=C(C=C2)Cl)CCCC(=O)C3=CC=C(C=C3)F
4817	Ki	4100.0	C1CN(C[C@H]1NC(=O)C2=CC(=C(C=C2)Cl)Cl)CC3=CC(=C(C=C3)OC4CCNCC4)Br
5315	Ki	66.8	CN1CCN(CC1)C2=CC=CC3=C2N=C(N3)CC4=CC=CC=C4
5318	Ki	36.22	CN1CCN(CC1)C2=CC=CC3=C2N=C(N3)CC4=CC=CC5=CC=CC=C54
5321	Ki	58.0	C1CN(CCN1)C2=CC=CC3=C2N=C(N3)CC4=CC=CC=C4
5324	Ki	16.0	C1CN(CCN1)C2=CC=CC3=C2N=C(N3)CC4=CC=CC5=CC=CC=C54
5328	Ki	34.0	CN1CCN(CC1)C2=CC=CC3=C2N=C(N3)C(=O)C4=CC=CC5=CC=CC=C54
5330	Ki	13.0	C1CN(CCN1)C2=CC=CC3=C2N=C(N3)C(=O)C4=CC=CC5=CC=CC=C54
5334	Ki	49.0	C1CN(CCN1)C2=CC=CC3=C2N=C(N3)CC4=CC5=CC=CC=C5C=C4
5359	Ki	23.0	CN(C)CCN1C=C(C2=C1N=CC=C2)S(=O)(=O)C3=CC=CC=C3
5365	Ki	4.8999999999999995	CN(C)CCN1C=C(C2=C1N=CC=C2)S(=O)(=O)C3=CC=CC(=C3)F
5373	Ki	11.299999999999999	CC(=O)C1=NC2=C(C=C1)N(C=C2S(=O)(=O)C3=CC=CC(=C3)F)CCN(C)C
5376	Ki	3.9	CC(=O)C1=NC2=C(C=C1)N(C=C2S(=O)(=O)C3=CC=C(C=C3)Br)CCN(C)C
5379	Ki	76.0	C1=CC(=CC(=C1)S(=O)(=O)C2=CN(C3=C2N=CC=C3)CCN)F
5382	Ki	35.0	C1=CC(=CC(=C1)Cl)S(=O)(=O)C2=CN(C3=C2N=CC=C3)CCN
5385	Ki	46.0	CC1=CC(=CC=C1)S(=O)(=O)C2=CN(C3=C2N=CC=C3)CCN
5386	Ki	56.0	CC(=O)C1=NC2=C(C=C1)N(C=C2S(=O)(=O)C3=CC=CC=C3)CCN(C)C
5387	Ki	200.0	CN(C)CCN1C=C(C2=C1C=CC=N2)S(=O)(=O)C3=CC=CC(=C3)F
5388	Ki	1.7	CC(=O)C1=NC2=C(C=C1)N(C=C2S(=O)(=O)C3=CC=CC4=CC=CC=C43)CCN(C)C
5391	Ki	42.0	C1=CC2=C(C(=CN2CCN)S(=O)(=O)C3=C(N=C4N3C=CS4)Cl)N=C1
5392	Ki	368.0	CN(C)CCN1C=C(C2=C1C=CC=N2)S(=O)(=O)C3=CC=CC=C3
5393	Ki	214.0	CN(C)CCN1C=C(C2=C1C=CC(=N2)Cl)S(=O)(=O)C3=CC=CC=C3
5531	Ki	45.0	C1CCN(C1)CCN2C=C(C3=C2N=CC=C3)S(=O)(=O)C4=CC(=CC=C4)Cl
5540	Ki	88.0	C1CCN(C1)CCN2C=C(C3=C2N=CC=C3)S(=O)(=O)C4=CC=CC(=C4)F
